content_id,title,content_type,genre,sub_genre,language,country,release_year,added_date,age_rating,duration_minutes,seasons,episodes,director,cast_count,production_company,imdb_rating,jiohotstar_rating,watch_count_millions,completion_rate,is_original,awards_count
JHS01978,Warriors: Distant Storm,Movie,Animation,Cartoon Comedy,Hindi,India,2023,3/12/2023,U/A 13+,192,,,Yuki Smith,14,Zenith Entertainment,9.1,5,24.32,80.7,No,9
JHS03881,The Broken Shadows,Movie,Sports,Olympic Story,Telugu,India,2001,11/5/2001,U/A 16+,139,,,Divya Menon,20,Echo Creations,4.2,3.7,23.96,41.8,Yes,1
JHS00053,The Solitary Dreams,TV Show,Comedy,Sitcom,Hindi,India,2009,6/8/2010,U/A 16+,,1,26,Meera Gupta,18,Coral Works,,3.8,43.09,55.7,Yes,3
JHS02552,Dreams and the Fortress,Movie,Thriller,Survival Thriller,Hindi,India,1996,6/29/1997,U/A 7+,74,,,Sarah Rivera,17,Starlight Entertainment,5.9,4,10.58,46.9,No,2
JHS02247,Solitary Warriors 3,TV Show,Romance,Romantic Comedy,Malayalam,India,2009,1/16/2009,U/A 16+,,8,186,Suresh Khan,7,Golden Films,8.6,4.7,108.34,79,No,3
JHS00271,Fortress: Shattered Horizon,Movie,Documentary,Science Doc,Hindi,India,1993,1/9/2003,U/A 7+,202,,,Rajesh Murphy,2,Silver Studios,8.4,4.6,5.69,73.2,No,0
JHS00602,Chronicles: Iron Voyage,Movie,Family,Holiday Special,English,Australia,2011,11/30/2012,U/A 13+,170,,,Yuki Evans,10,Coral Vision,6.2,4.1,53.61,,No,1
JHS02442,Journey of the Echo,TV Show,Horror,Ghost Story,Telugu,India,1992,12/11/2024,U/A 13+,,1,5,Meera Watanabe,12,Titan Pictures,5.4,3.6,56.71,48.2,No,3
JHS03287,Warriors of Echo,TV Show,Action,Gunfight Drama,Marathi,India,2021,1/29/2021,U/A 7+,,12,255,Chloe Singh,17,Prism Media,,4.5,61.61,71.2,No,5
JHS02968,,TV Show,Mystery,Psychological Mystery,Marathi,India,1996,8/17/2008,,,5,87,Daniel Bhatt,18,Nova Works,5.5,4.2,49.21,55.5,No,3
JHS04713,Echo Beyond the Whisper,Movie,Sci-Fi,Cyberpunk,Hindi,India,1994,4/30/2000,U/A 7+,183,,,Karan Rao,13,Nova Pictures,4.3,3.5,19.59,39.4,No,0
JHS09033,Kingdom and the Frontier 2,TV Show,Kids,Educational,Hindi,India,2020,1/11/2021,U/A 13+,,5,95,Ella Desai,11,Skyline Productions,8.5,4.6,7.17,72.7,Yes,3
JHS01788,Voyage Rise of the Legacy,TV Show,Family,,Hindi,India,2007,6/17/2008,U/A 13+,,2,,Varun Bhatt,7,Horizon Pictures,6.3,4.2,43.74,55.5,Yes,2
JHS01699,Rising Dreams,Movie,Thriller,Survival Thriller,English,USA,2010,8/28/2011,,127,,,Noah Roberts,13,Starlight Works,7,4.2,19.02,70.9,No,0
JHS03226,Flame: Dark River,TV Show,Comedy,Romantic Comedy,English,UK,1997,10/5/2007,U/A 13+,,12,219,Kavya Collins,20,Starlight Vision,6.4,4.1,14.95,61.2,No,0
JHS00404,The Last Voyage 2,Movie,Romance,Second Chance Romance,Hindi,UK,2021,1/11/2022,U/A 16+,187,,,Harper Williams,11,Cobalt Works,9.2,4.8,93.58,91.3,No,1
JHS03535,Secret: Last Promise,Movie,Fantasy,High Fantasy,Malayalam,India,2015,9/19/2015,A,70,,,Michael Khan,5,,5,3.6,50.24,37.8,No,1
JHS06047,Mirage: Restless Flame,Movie,Comedy,Stand-up Special,Hindi,India,2002,4/3/2003,U/A 13+,217,,,David Menon,20,Royal Studios,4.3,3.5,13.3,35,No,1
JHS03048,Echo of Secret,Movie,Sci-Fi,Dystopian,,USA,2018,6/18/2019,U,144,,,Chloe Morgan,7,Crescent Works,7.4,4.6,117.35,64.7,Yes,2
JHS08863,Bright Vendetta 7,Movie,Thriller,Action Thriller,Telugu,India,1992,6/5/1994,U/A 13+,152,,,Hiroshi Lee,10,Coral Vision,8.1,4.7,35.17,77.2,No,4
JHS07147,Mirage Rise of the Throne,Movie,Reality,Reality Drama,Malayalam,India,2010,6/12/2013,U/A 16+,151,,,Neha Park,16,,7.6,4.2,18.92,73.3,No,2
JHS00508,Silent Reckoning,Movie,Romance,Historical Romance,Hindi,UK,2010,7/30/2010,A,143,,,Olivia Brown,6,Ridge Creations,6,4,26.57,59.8,No,4
JHS04477,The Radiant Mirage 3,TV Show,Crime,Serial Killer,English,Australia,2025,1/30/2025,A,,8,123,Minho Reddy,7,Ridge Motion Pictures,7,3.9,49.92,61.9,Yes,2
JHS01678,The Crimson Horizon,TV Show,Family,Parenting Drama,Marathi,India,2019,4/28/2020,U/A 7+,,4,58,Jisoo Joshi,7,Prism Motion Pictures,9.6,4.6,39.21,91.5,Yes,5
JHS02021,Shadows of Circle,Movie,Family,Family Fantasy,Hindi,India,2007,5/3/2011,U/A 13+,156,,,Divya Desai,7,Titan Pictures,4.2,3.6,34.8,39.8,Yes,6
JHS01683,Silent Storm 2,Movie,Sports,Football Drama,Hindi,India,2015,3/9/2016,U/A 13+,151,,,Chris Verma,16,Lotus Works,9.8,5,67.7,85.4,Yes,5
JHS01650,Dreams of Whisper,,Sci-Fi,Time Travel,English,UK,2003,9/13/2004,U/A 16+,133,,,Minho Clark,18,Crescent Works,6.9,4.2,54.49,53.2,No,2
JHS02422,The Endless Empire 2,TV Show,Sci-Fi,Alien Invasion,,India,2020,8/24/2020,U/A 13+,,3,51,Priya Bennett,12,Blue Films,7.8,4.5,29.03,66.8,No,5
JHS07538,The Sacred Throne 3,TV Show,Crime,Police Procedural,Marathi,India,,8/18/2001,U/A 13+,,2,41,Michael Desai,4,Vivid Entertainment,5.6,3.8,48.83,37.2,No,2
JHS04794,Shattered Storm 2,Movie,Fantasy,Fairy Tale,Hindi,India,2017,1/27/2021,U,166,,,Sophie Rao,9,Horizon Works,5.3,4,81.83,,No,1
JHS09637,Golden Warriors 4,Movie,Mystery,,Marathi,India,1992,3/28/1992,A,85,,,Sophie Brown,20,Vertex Entertainment,4.1,3.6,48.63,38.8,Yes,1
JHS01016,Frontier Legend of the Throne 2,TV Show,,Space Opera,Malayalam,India,1992,3/16/2004,U/A 16+,,9,192,Arjun Walker,15,Skyline Entertainment,9.8,4.9,82.06,90,Yes,6
JHS08922,Throne Rise of the Rebellion,,Comedy,Romantic Comedy,Tamil,India,2006,10/27/2014,U/A 7+,,3,67,Divya Evans,6,Prism Motion Pictures,5.3,3.8,57.4,58,No,2
JHS03045,Last Symphony 2,Movie,Horror,Slasher,Telugu,India,1994,7/13/1995,U/A 16+,102,,,Ravi Mehta,12,Royal Works,4.7,3.5,94.37,46.2,No,3
JHS03499,Silver Shadows 2,Movie,Adventure,Survival,Hindi,India,2004,10/29/2005,U,220,,,Aarav Walker,8,Cobalt Pictures,5.1,3.6,9.54,49.3,No,2
JHS05525,Wild Voyage 4,Movie,Documentary,Biography,Hindi,India,1999,11/11/2007,U,125,,,Ethan Mehta,3,Coral Films,6.5,4.1,4.6,69.4,No,5
JHS09555,Forgotten Shadows 3,Movie,Sports,Football Drama,Marathi,India,2012,10/31/2012,U/A 13+,155,,,,11,Summit Productions,8.3,4.8,81.77,72.7,Yes,5
JHS02847,The Broken Circle,Movie,Animation,Anime Action,Marathi,India,1994,6/14/1994,U/A 13+,219,,,Arjun Kim,5,Silver Media,5,3.6,41.34,51.4,No,1
JHS00836,Storm: Iron Storm,TV Show,Mystery,Missing Person,Hindi,India,2010,12/11/2022,U/A 13+,,7,77,Jisoo Anderson,10,Summit Motion Pictures,6.1,4,46.69,48,No,1
JHS04864,Mirage: Broken Empire,TV Show,Documentary,Science Doc,Kannada,India,2008,2/28/2021,U,,4,37,Aarav Bailey,10,Crescent Entertainment,4.5,3.6,23.6,35,Yes,1
JHS03298,Restless Journey 2,Movie,Drama,Social Drama,Hindi,,2025,5/1/2025,A,184,,,Daniel Bennett,20,Maple Motion Pictures,9.4,4.8,91.29,87.5,No,2
JHS07962,Labyrinth: Silver Horizon,Movie,Romance,Romantic Comedy,Marathi,,2013,11/10/2025,U/A 16+,207,,,Jisoo Cook,9,Nova Creations,7,4.3,138.64,68.5,No,2
JHS03146,Vendetta: Bright Horizon,Movie,Action,Gunfight Drama,English,USA,1999,3/19/2008,U/A 7+,104,,,Jason Evans,19,Blue Vision,4.5,3.5,17.36,35,Yes,1
JHS06116,Silver Labyrinth,Movie,Drama,Coming of Age,Hindi,India,2001,5/25/2002,A,75,,,Daniel Wilson,2,Silver Vision,5.5,4,84.59,52.3,No,5
JHS01902,Iron Horizon,Movie,Adventure,Road Trip,Hindi,India,2013,7/6/2014,U/A 13+,94,,,Minho Clark,10,Ridge Films,7.5,4.4,9.96,65.7,No,2
JHS01412,Chronicles: Wild Throne,Movie,Drama,Legal Drama,English,USA,2018,2/20/2018,U/A 13+,102,,,Minho Pillai,10,Zenith Creations,6.7,4.1,41.12,56.5,No,3
JHS00624,Frontier: Radiant Flame,Movie,Sci-Fi,Cyberpunk,English,Canada,1993,4/6/1998,U/A 13+,130,,,Ella Sharma,20,Vivid Creations,8.5,4.6,100.23,74.2,No,5
JHS03504,The Scarlet River 2,Movie,Sci-Fi,Alien Invasion,Hindi,India,2025,6/28/2025,U,141,,,Noah Singh,3,Titan Films,7.8,4.5,175.03,71.2,No,3
JHS03067,Mirage: Midnight Circle,Movie,Romance,Romantic Drama,English,USA,2023,9/29/2023,U/A 16+,122,,,Noah Pillai,3,Crescent Studios,9.6,4.9,35.53,79.5,Yes,1
JHS00642,Rebellion: Rising Frontier,TV Show,Comedy,Romantic Comedy,Hindi,India,2005,10/9/2005,U/A 16+,,10,188,Chris Kapoor,5,Cobalt Creations,9.5,5,112.64,86.4,No,6
JHS02171,The Endless Promise 2,Movie,Drama,Legal Drama,Bengali,India,2011,2/28/2012,U/A 13+,143,,,Ava Taylor,2,Coral Films,7.6,4.1,32.95,58.3,No,7
JHS06822,The Distant Chronicles 5,Movie,Romance,Second Chance Romance,Marathi,India,2016,3/6/2017,U/A 13+,108,,,Kavya Baker,10,Emerald Entertainment,6.9,4.3,62.45,67.5,No,2
JHS07419,Chronicles in the Vendetta,TV Show,Family,Parenting Drama,Hindi,India,,3/27/2004,U,,4,62,Hiroshi Collins,6,Falcon Media,8,4.7,71.84,66.6,No,2
JHS01720,Vendetta: Scarlet Warriors,TV Show,Adventure,Sea Voyage,Hindi,India,2014,5/5/2017,U/A 13+,,12,300,Harper Gupta,16,Vertex Creations,8.5,4.6,55.75,78.5,No,3
JHS01303,Dreams in the Rebellion,TV Show,Crime,Courtroom Drama,Telugu,India,1993,11/14/1994,U,,5,76,Do-yun Clark,19,Nova Productions,5,3.8,20.1,41.7,No,2
JHS07828,Flame: Endless Promise,Movie,Comedy,Satire,Hindi,India,2010,12/24/2013,U/A 13+,141,,,Sophie Evans,4,Cobalt Vision,7.2,4.2,88.92,68.5,No,7
JHS05793,Midnight Promise 2,TV Show,Sci-Fi,Post-Apocalyptic,Bengali,India,,1/14/2019,U/A 16+,,11,210,Hiroshi Bhatt,14,Crescent Studios,7.6,4.4,23.71,59.3,Yes,5
JHS09926,Whisper: Sacred Rebellion 3,Movie,Mystery,Detective,Marathi,India,1999,5/15/1999,A,175,,,Isha Singh,6,Silver Motion Pictures,4,3.5,39.16,35,Yes,1
